Date/Time,Month,Day,Max Temp (deg C),Min Temp (deg C),Mean Temp (deg C),Total Precip (mm)
2010-02-02,2,2,-1.4,-6.7,-4.1,0.8
2010-02-03,2,3,2.0,-4.7,-1.4,0.3
2010-02-04,2,4,1.6,-8.1,-3.3,0.0
2010-02-05,2,5,0.9,-5.8,-2.5,0.0
2010-02-06,2,6,-4.1,-10.9,-7.5,0.0
2010-02-07,2,7,-1.2,-10.7,-6.0,0.0
2010-02-08,2,8,1.6,-9.0,-3.7,0.0
2010-02-09,2,9,-2.8,-6.4,-4.6,0.0
2010-02-10,2,10,-1.4,-6.7,-4.1,0.5
2010-02-11,2,11,0.4,-8.3,-4.0,0.0
2010-02-12,2,12,0.8,-7.3,-3.3,0.0
2010-02-13,2,13,-0.4,-7.7,-4.1,0.0
2010-02-14,2,14,0.0,-3.2,-1.6,0.0
2010-02-15,2,15,-0.4,-2.7,-1.6,0.0
2010-02-16,2,16,1.2,-3.3,-1.1,0.0
2010-02-17,2,17,1.2,-2.6,-0.7,0.8
2010-02-18,2,18,2.0,-1.4,0.3,0.0
2010-02-19,2,19,4.8,-0.7,2.1,0.0
2010-02-20,2,20,5.0,-2.1,1.5,0.0
2010-02-21,2,21,4.6,-4.1,0.3,0.0
2010-02-22,2,22,1.3,-3.7,-1.2,3.3
2010-02-23,2,23,1.6,-0.7,0.5,0.5
2010-02-24,2,24,0.3,-2.4,-1.1,0.0
2010-02-25,2,25,-1.4,-6.6,-4.0,0.0
2010-02-26,2,26,3.1,-5.9,-1.4,3.3
2010-02-27,2,27,3.5,0.8,2.2,3.6
2010-02-28,2,28,4.9,1.4,3.2,0.0
2010-03-01,3,1,4.3,-0.1,2.1,0.0
2010-03-02,3,2,2.4,-1.4,0.5,0.0
2010-03-03,3,3,5.7,-0.8,2.5,0.0
2010-03-04,3,4,4.7,-1.4,1.7,0.0
2010-03-05,3,5,5.2,-2.6,1.3,0.0
2010-03-06,3,6,8.4,-1.4,3.5,0.0
2010-03-07,3,7,11.4,0.3,5.9,0.0
2010-03-08,3,8,15.3,0.5,7.9,0.0
2010-03-09,3,9,10.4,-0.2,5.1,0.0
2010-03-10,3,10,6.6,1.7,4.2,0.0
2010-03-11,3,11,10.0,5.0,7.5,0.0
2010-03-12,3,12,6.2,4.6,5.4,17.8
2010-03-13,3,13,6.3,4.0,5.2,22.6
2010-03-14,3,14,6.7,3.1,4.9,4.0
2010-03-15,3,15,11.0,3.8,7.4,0.0
2010-03-16,3,16,11.6,1.1,6.4,0.0
2010-03-17,3,17,14.1,2.2,8.2,0.0
2010-03-18,3,18,18.9,3.3,11.1,0.0
2010-03-19,3,19,11.4,3.7,7.6,0.0
2010-03-20,3,20,7.0,0.9,4.0,0.0
2010-03-21,3,21,4.3,0.1,2.2,0.0
2010-03-26,3,26,-0.5,-5.6,-3.1,0.0
2010-03-27,3,27,3.4,-4.1,-0.4,0.0
2010-03-28,3,28,5.9,3.0,4.5,4.8
2010-03-29,3,29,10.0,3.4,6.7,0.8
2010-03-30,3,30,9.3,1.5,5.4,0.0
2010-03-31,3,31,13.7,1.3,7.5,0.0
2010-04-01,4,1,12.3,5.7,9.0,0.0
2010-04-02,4,2,16.4,6.0,11.2,0.0
2010-04-03,4,3,17.8,8.5,13.2,0.0
2010-04-04,4,4,17.7,5.9,11.8,0.0
2010-04-05,4,5,23.6,7.9,15.8,0.0
2010-04-06,4,6,13.4,7.6,10.5,8.0
2010-04-07,4,7,15.4,5.0,10.2,16.3
2010-04-08,4,8,8.6,4.7,6.7,9.1
2010-04-09,4,9,4.8,2.3,3.6,0.0
2010-04-10,4,10,12.8,1.7,7.3,0.0
2010-04-11,4,11,16.9,5.6,11.3,0.0
2010-04-12,4,12,12.2,5.9,9.1,0.0
2010-04-13,4,13,13.1,5.3,9.2,0.0
2010-04-14,4,14,15.8,3.6,9.7,0.0
2010-04-15,4,15,16.1,5.0,10.6,0.0
2010-04-16,4,16,22.1,5.9,14.0,0.0
2010-04-17,4,17,8.8,4.3,6.6,0.0
2010-04-18,4,18,15.6,4.9,10.3,0.0
2010-04-19,4,19,18.1,5.3,11.7,0.0
2010-04-20,4,20,16.3,4.9,10.6,0.0
2010-04-21,4,21,17.2,4.6,10.9,0.0
2010-04-22,4,22,13.1,3.5,8.3,0.0
2010-04-23,4,23,11.3,2.9,7.1,0.0
