Date/Time,Month,Day,Max Temp (deg C),Min Temp (deg C),Mean Temp (deg C),Total Precip (mm)
2012-01-01,1,1,7.1,1.6,4.4,3.5
2012-01-02,1,2,1.8,-9.9,-4.1,0.0
2012-01-03,1,3,-9.9,-13.7,-11.8,0.0
2012-01-04,1,4,1.4,-10.6,-4.6,0.0
2012-01-05,1,5,3.6,-0.1,1.8,0.0
2012-01-06,1,6,7.1,2.2,4.7,0.0
2012-01-07,1,7,9.1,1.4,5.3,0.0
2012-01-13,1,13,4.4,-6.1,-0.9,0.0
2012-01-14,1,14,-6.0,-12.2,-9.1,0.0
2012-01-15,1,15,-4.8,-13.5,-9.2,0.0
2012-01-16,1,16,4.7,-5.1,-0.2,0.8
2012-01-17,1,17,8.6,-2.9,2.9,6.9
2012-01-18,1,18,-2.6,-6.8,-4.7,0.0
2012-01-19,1,19,-0.1,-7.9,-4.0,0.0
2012-01-20,1,20,-5.1,-9.5,-7.3,0.0
2012-01-21,1,21,-1.3,-6.5,-3.9,0.0
2012-01-22,1,22,2.5,-4.5,-1.0,0.3
2012-01-23,1,23,7.0,1.8,4.4,10.0
2012-01-24,1,24,3.0,-0.7,1.2,0.0
2012-01-25,1,25,-0.1,-1.4,-0.8,0.0
2012-01-26,1,26,2.7,-2.0,0.4,1.9
2012-01-27,1,27,5.2,0.5,2.9,12.6
2012-01-28,1,28,3.0,-1.6,0.7,1.3
2012-01-29,1,29,2.1,-3.4,-0.7,0.0
2012-01-30,1,30,0.5,-3.0,-1.3,0.0
2012-01-31,1,31,7.9,-1.7,3.1,3.6
2012-02-01,2,1,8.4,2.0,5.2,0.0
2012-02-02,2,2,2.1,-1.1,0.5,0.0
2012-02-03,2,3,3.8,-0.5,1.7,0.0
2012-02-04,2,4,3.2,-0.4,1.4,0.0
2012-02-05,2,5,3.1,-0.2,1.5,0.0
2012-02-06,2,6,8.7,0.4,4.6,0.0
2012-02-07,2,7,3.2,-5.6,-1.2,0.0
2012-02-08,2,8,1.9,-6.2,-2.2,0.0
2012-02-09,2,9,5.3,-2.5,1.4,0.0
2012-02-10,2,10,1.3,-3.3,-1.0,0.0
2012-02-11,2,11,-3.3,-11.4,-7.4,0.0
2012-02-13,2,13,3.2,-3.6,-0.2,0.0
2012-02-14,2,14,2.1,-0.1,1.0,1.3
2012-02-15,2,15,3.8,0.5,2.2,0.3
2012-02-16,2,16,5.2,1.4,3.3,0.6
2012-02-17,2,17,5.4,-0.1,2.7,0.0
2012-02-18,2,18,4.3,-2.3,1.0,4.3
2012-02-19,2,19,0.7,-4.6,-2.0,0.0
