Date/Time,Month,Day,Max Temp (deg C),Min Temp (deg C),Mean Temp (deg C),Total Precip (mm)
2013-01-01,1,1,-0.8,-6.6,-3.7,0.0
2013-01-02,1,2,-1.2,-5.3,-3.3,0.0
2013-01-03,1,3,-0.6,-6.8,-3.7,0.0
2013-01-04,1,4,0.2,-1.9,-0.9,0.0
2013-01-07,1,7,2.1,-5.8,-1.9,0.0
2013-01-09,1,9,7.4,0.4,3.9,0.0
2013-01-10,1,10,5.7,1.3,3.5,0.0
2013-01-11,1,11,6.5,3.3,4.9,3.4
2013-01-12,1,12,10.3,2.9,6.6,0.0
2013-01-13,1,13,14.1,5.1,9.6,33.1
2013-01-14,1,14,5.4,-2.4,1.5,1.3
2013-01-15,1,15,1.3,-3.3,-1.0,0.0
2013-01-16,1,16,3.7,-2.5,0.6,0.0
2013-01-17,1,17,2.2,-9.4,-3.6,0.0
2013-01-18,1,18,2.3,-10.2,-4.0,0.0
2013-01-19,1,19,7.3,2.3,4.8,0.0
2013-01-20,1,20,7.2,-7.2,0.0,0.5
2013-01-21,1,21,-5.1,-10.4,-7.8,0.0
2013-01-22,1,22,-10.3,-13.5,-11.9,0.0
2013-01-23,1,23,-8.7,-16.5,-12.6,0.0
2013-01-24,1,24,-8.9,-13.5,-11.2,0.0
2013-01-25,1,25,-7.1,-12.2,-9.7,0.0
2013-01-26,1,26,-2.9,-8.1,-5.5,1.0
2013-01-27,1,27,-0.6,-12.0,-6.3,0.0
2013-01-28,1,28,3.3,-1.4,1.0,10.6
2013-01-29,1,29,4.5,1.0,2.8,16.9
2013-01-30,1,30,9.5,4.4,7.0,1.4
2013-01-31,1,31,6.8,-5.5,0.7,1.0
2013-02-01,2,1,-5.0,-8.5,-6.8,0.0
2013-02-02,2,2,-4.4,-8.4,-6.4,0.0
2013-02-03,2,3,-4.4,-9.4,-6.9,0.0
2013-02-04,2,4,-3.9,-10.8,-7.4,0.0
2013-02-05,2,5,-2.5,-10.7,-6.6,0.0
2013-02-06,2,6,-2.1,-6.5,-4.3,0.0
2013-02-07,2,7,-0.8,-5.5,-3.2,0.0
2013-02-08,2,8,-4.0,-8.4,-6.2,0.3
2013-02-09,2,9,-2.4,-10.8,-6.6,0.0
2013-02-10,2,10,2.3,-11.1,-4.4,0.0
2013-02-11,2,11,6.9,1.4,4.2,6.8
2013-02-12,2,12,2.5,-0.6,1.0,0.0
2013-02-13,2,13,1.0,-2.7,-0.9,0.0
2013-02-14,2,14,2.7,-2.4,0.2,3.3
2013-02-15,2,15,2.9,-5.3,-1.2,0.0
2013-02-16,2,16,-2.3,-6.9,-4.6,0.0
2013-02-17,2,17,-6.9,-13.0,-10.0,0.0
2013-02-18,2,18,1.8,-12.3,-5.3,0.3
2013-02-19,2,19,4.5,-3.8,0.4,10.6
2013-02-20,2,20,-3.7,-6.4,-5.1,0.0
2013-02-21,2,21,-3.1,-11.6,-7.4,0.0
2013-02-22,2,22,2.4,-7.2,-2.4,0.5
2013-02-23,2,23,2.8,-0.3,1.3,0.0
2013-02-24,2,24,2.7,-1.5,0.6,0.8
2013-02-25,2,25,2.0,0.4,1.2,0.0
2013-02-26,2,26,3.4,0.5,2.0,20.3
2013-02-28,2,28,3.9,-0.3,1.8,6.8
2013-03-01,3,1,-0.3,-5.3,-2.8,0.0
2013-03-02,3,2,-1.9,-7.3,-4.6,0.0
2013-03-03,3,3,-3.5,-6.9,-5.2,0.0
